"code";"text";"pt3";"pos"
"9145";"DIM 165/65-14";"DIM 165/65-14";""
"9146";"DIM 175/65-14";"DIM 175/65-14";""
"9147";"DIM 185/60-14";"DIM 185/60-14";""
"9148";"DIM 195/60-14";"DIM 195/60-14";""
"9149";"DIM 205/60-14";"DIM 205/60-14";""
"9150";"DIM 145-15";"DIM 145-15";""
"9151";"DIM 155-15";"DIM 155-15";""
"9152";"DIM 165-15";"DIM 165-15";""
"9153";"DIM 6.70-15";"DIM 6.70-15";""
"9154";"DIM 175/70-15";"DIM 175/70-15";""
"9155";"DIM 185/65-15";"DIM 185/65-15";""
"9156";"DIM 195/65-15";"DIM 195/65-15";""
"9157";"DIM 205/55-15";"DIM 205/55-15";""
"9158";"DIM 225/75-15";"DIM 225/75-15";""
"9159";"DIM 235/75-15";"DIM 235/75-15";""
"9160";"DIM 6.00-16";"DIM 6.00-16";""
"9161";"DIM 6.50-16";"DIM 6.50-16";""
"9162";"DIM 205/75-16";"DIM 205/75-16";""
"9163";"DIM 205/55-16";"DIM 205/55-16";""
"9164";"DIM 185/75-14";"DIM 185/75-14";""
"9165";"DIM 185/65-14";"DIM 185/65-14";""
"9166";"DIM 195/70-15";"DIM 195/70-15";""
"9167";"DIM 205/60-15";"DIM 205/60-15";""
"9168";"DIM 185/55-15";"DIM 185/55-15";""
"9169";"DIM 225/50-15";"DIM 225/50-15";""
"9170";"DIM 225/50-16";"DIM 225/50-16";""
"9171";"DIM 195/60-15";"DIM 195/60-15";""
"9172";"DIM 205/65-15";"DIM 205/65-15";""
"9173";"DIM 205/65-15 RF";"DIM 205/65-15 RF";""
"9174";"DIM 205/70-15";"DIM 205/70-15";""
"9175";"DIM 205/70-15 C";"DIM 205/70-15 C";""
"9176";"DIM 195/50-15";"DIM 195/50-15";""
"9177";"DIM 205/50-15";"DIM 205/50-15";""
"9178";"DIM 185/70-15";"DIM 185/70-15";""
"9179";"DIM 175-15";"DIM 175-15";""
"9180";"DIM 185-14 8C";"DIM 185-14 8C";""
"9181";"DIM 195-14 8C";"DIM 195-14 8C";""
"9182";"DIM 205-14 8C";"DIM 205-14 8C";""
"9183";"DIM 205-16";"DIM 205-16";""
"9184";"DIM 205-16 RF";"DIM 205-16 RF";""
"9185";"DIM 205-16 8C";"DIM 205-16 8C";""
"9186";"DIM 185-15";"DIM 185-15";""
"9187";"DIM 180/65-390 P6";"DIM 180/65-390 P6";""
"9188";"DIM 190/65-390";"DIM 190/65-390";""
"9189";"DIM 200/60-390";"DIM 200/60-390";""
"9190";"DIM 000-10";"DIM 000-10";""
"9191";"DIM 31X10.5-15";"DIM 31X10.5-15";""
"9192";"DIM 000-12";"DIM 000-12";""
"9193";"DIM 000-13";"DIM 000-13";""
"9194";"DIM 000-14";"DIM 000-14";""
"9195";"DIM 000-15";"DIM 000-15";""
"9196";"DIM 000-16";"DIM 000-16";""
"9197";"DIM 000-17";"DIM 000-17";""
"9198";"DIM 205/70-13";"DIM 205/70-13";""
"9199";"DIM 215-14 C";"DIM 215-14 C";""
"9200";"DIM 205/70-16";"DIM 205/70-16";""
"9201";"DIM 185/55-14";"DIM 185/55-14";""
"9202";"DIM 205/75-15";"DIM 205/75-15";""
"9203";"DIM 215/65-15";"DIM 215/65-15";""
"9204";"DIM 195/50-16";"DIM 195/50-16";""
"9205";"DIM 225/55-16";"DIM 225/55-16";""
"9206";"DIM 250/60-16";"DIM 250/60-16";""
"9207";"DIM 265/75-16";"DIM 265/75-16";""
"9208";"DIM 235/45-17";"DIM 235/45-17";""
"9209";"DIM 215/55-16";"DIM 215/55-16";""
"9210";"DIM 195/75-16";"DIM 195/75-16";""
"9211";"DIM 000-18";"DIM 000-18";""
"9212";"DIM 000-19";"DIM 000-19";""
"9213";"DIM 000-20";"DIM 000-20";""
"9214";"DIM 000-21";"DIM 000-21";""
"9215";"DIM 000-22";"DIM 000-22";""
"9216";"DIM 245/55-16";"DIM 245/55-16";""
"9217";"DIM 235/85-16";"DIM 235/85-16";""
"9218";"DIM 325/55-17";"DIM 325/55-17";""
"9219";"DIM 235/55-18";"DIM 235/55-18";""
"9220";"DIM 215/60-15";"DIM 215/60-15";""
"9221";"DIM 225/60-15";"DIM 225/60-15";""
"9222";"DIM 225/55-15";"DIM 225/55-15";""
"9223";"DIM 185/60-15";"DIM 185/60-15";""
"9224";"DIM 225/35-17";"DIM 225/35-17";""
"9225";"DIM 215/40-17";"DIM 215/40-17";""
"9226";"DIM 225/45-17";"DIM 225/45-17";""
"9227";"DIM 235/40-17";"DIM 235/40-17";""
"9228";"DIM 225/50-17";"DIM 225/50-17";""
"9229";"DIM 215/75-16";"DIM 215/75-16";""
"9230";"DIM 215/65-16";"DIM 215/65-16";""
"9231";"DIM 235/60-16";"DIM 235/60-16";""
"9232";"DIM 195/55-16";"DIM 195/55-16";""
"9233";"DIM 205/45-16";"DIM 205/45-16";""
"9234";"DIM 225/40-18";"DIM 225/40-18";""
"9235";"DIM 235/40-18";"DIM 235/40-18";""
"9236";"DIM 265/35-18";"DIM 265/35-18";""
"9237";"DIM 205/50-17";"DIM 205/50-17";""
"9238";"DIM 245/70-16";"DIM 245/70-16";""
"9239";"DIM 155/65-13";"DIM 155/65-13";""
"9240";"DIM 215/60-16";"DIM 215/60-16";""
"9241";"DIM 195/60-16";"DIM 195/60-16";""
"9242";"DIM 245/35-17";"DIM 245/35-17";""
"9243";"DIM 225/65-16";"DIM 225/65-16";""
"9244";"DIM 245/70-17";"DIM 245/70-17";""
"9245";"DIM 215/50-17";"DIM 215/50-17";""
"9246";"DIM 225/45-16";"DIM 225/45-16";""
"9247";"DIM 215/35-18";"DIM 215/35-18";""
"9248";"DIM 225/35-18";"DIM 225/35-18";""
"9249";"DIM 205/40-17";"DIM 205/40-17";""
"9250";"DIM 175/60-13";"DIM 175/60-13";""
"9251";"DIM 255/45-18";"DIM 255/45-18";""
"9252";"DIM 195/75-14";"DIM 195/75-14";""
"9253";"DIM 215/55-17";"DIM 215/55-17";""
"9254";"DIM 235/65-17";"DIM 235/65-17";""
"9255";"DIM 225/60-16";"DIM 225/60-16";""
"9256";"DIM 265/70-15";"DIM 265/70-15";""
"9257";"DIM 265/70-17";"DIM 265/70-17";""
"9258";"DIM 155/65-14";"DIM 155/65-14";""
"9259";"DIM 255/35-18";"DIM 255/35-18";""
"9260";"DIM 215/75-15";"DIM 215/75-15";""
"9261";"DIM 255/55-18";"DIM 255/55-18";""
"9262";"DIM 195/65-16";"DIM 195/65-16";""
"9263";"DIM 225/65-16C";"DIM 225/65-16C";""
"9264";"DIM 245/45-18";"DIM 245/45-18";""
