"code";"SV";"DE";"pos"
"3099";"MITTPARTI ÖVRIGT";"Mittenpartie Übriges";""
"3100";"INREDNING STOLAR/SÄTEN KOMP.";"Inredning Stolar/Säten Komplett";""
"3101";"INREDNING STOL FRAM VÄ";"Sitz";"Vorn Links"
"3102";"INREDNING STOL FRAM HÖ";"Sitz";"Vorn Recht"
"3103";"INREDNING SITTDYNA BAK";"Fondsitz Sitz";""
"3104";"INREDNING RYGGDYNA BAK";"Fondsitz Rückenlehne";""
"3105";"INREDNING BAKSÄTE";"Fondsitz";""
"3106";"INRED.STOL REGLERMOTOR FR";"Sitz Regliermotor";"Vorn"
"3107";"INRED.STOL REGLERMOTOR BA";"Sitz Regliermotor";"Hinten"
"3108";"INREDNING EXTRASÄTE";"Extrasitz";""
"3109";"INREDNING STOL BAK";"Sitz";"Hinten"
"3110";"INREDNING KOMP.";"Einrichtung Komplett";""
"3111";"DÖRRKLÄDSEL VÄ";"Türpolster";"Links"
"3112";"DÖRRKLÄDSEL HÖ";"Türpolster";"Recht"
"3115";"DÖRRHANDTAG STÄNG/ÖPPNARE VÄ";"Türgriff";"Intern Links"
"3116";"DÖRRHANDTAG STÄNG/ÖPPNARE HÖ";"Türgriff";"Intern Recht"
"3117";"INREDNING STOLSUNDERREDE";"Stolsunderrede";""
"3118";"FÖNSTERVEV";"Fensterhebel";""
"3119";"SÄKERHETSBÄLTE EXTRASÄTE";"Sicherheitzgurt Extrasitz";""
"3120";"SÄKERHETSBÄLTESLÅS/STOPP";"Sicherheitzgurt schloss/Stop";""
"3121";"SÄKERHETSBÄLTE FRAM VÄ";"Sicherheitzgurt";"Vorn Links"
"3122";"SÄKERHETSBÄLTE FRAM HÖ";"Sicherheitzgurt";"Vorn Recht"
"3123";"SÄKERHETSBÄLTE BAK VÄ";"Sicherheitzgurt";"Hinten Links"
"3124";"SÄKERHETSBÄLTE BAK HÖ";"Sicherheitzgurt";"Hinten Recht"
"3125";"SÄKERHETSBÄLTSATS FRAM";"Sicherheitzgurt sats";"Vorn"
"3126";"SÄKERHETSBÄLTSATS BAK";"Sicherheitzgurt sats";"Hinten"
"3127";"SÄKERHETSBÄLTE BAK MITT";"Sicherheitzgurt";"Hinten Mitte"
"3128";"INNERBELYSNING";"Innenbeleuchtung";""
"3129";"INNERBELYSNING DÖRRBELYSNING";"Innerbelysning dörrar";""
"3130";"SOLSKYDD";"Sonnenblende";""
"3131";"BILBARNSTOL";"Kinderstuhl";""
"3132";"INREDNING NACKSTÖD";"Kopfstütze";""
"3133";"INREDNING ARMSTÖD";"Armlehne";""
"3134";"INREDNING SKIDFACK BAKSÄTE";"Skidfack baksäte";""
"3135";"HATTHYLLA";"Hutablage";""
"3136";"INREDNING TAKKONSOL";"Takkonsol";""
"3138";"MATTA";"Teppich";""
"3140";"INNERTAK";"Innenbekleidung Dach";""
"3141";"INNERTAK FÖRVARINGSFACK";"Innertak Förvaringsfack";""
"3142";"ASKKOPP";"Aschenbecher";""
"3144";"ÖVERVAKNINGSKAMERA INVÄNDIG";"Övervakningskamera Invändig";""
"3145";"SPEGEL INVÄNDIG";"Rückpiegel Innen";""
"3146";"INREDNING SIDOKLÄDSEL";"Seitenpolster";""
"3147";"INREDNING BAKSTAM";"Bakstam";""
"3148";"HUNDGALLER/GRIND/BUR";"Hundgaller";""
"3149";"LASTSÄKRING/FÄSTE/ÖGLA";"Last Spännbälte";""
"3150";"LASTFÖRSKJUTNINGSSKYDD / GALLER";"Ladeverschiebungsschutz";""
"3151";"STOLPKLÄDSEL A/B/C";"Stolpenbekleidung A/B/C";""
"3152";"BAGAGERUMKLÄDSEL/GOLV";"Gepäckraum polster/Boden";""
"3153";"TRÖSKEL/INSTEG";"Tröskel/Einstieg";""
"3154";"STOLFACK";"Fach im Sitz";""
"3155";"TUNNELFACK";"Tunnelfach";""
"3156";"DOKUMENTHÅLLARE";"Dokumenthållare";""
"3160";"SÄKERHETSBÄLTESJUSTERING";"Säkerhetsbältesjustering";""
"3161";"SÄKERHETSBÄLTE MITTRE VÄ";"Sicherheitzgurt";"Links Mitte"
"3162";"SÄKERHETSBÄLTE MITTRE HÖ";"Sicherheitzgurt";"Recht Mitte"
"3163";"SÄKERHETSBÄLTE MITTRE MITT";"Sicherheitzgurt";"Mitte"
"3164";"SÄKERHETSBÄLTE FRAM MITT";"Sicherheitzgurt";"Vorn Mitte"
"3197";"INREDNING CLIPS";"Inredning Clips";""
"3198";"BAKRUTEJALUSI";"Bakrutejalusi";""
"3199";"INREDNING ÖVRIGT";"Innenausstattung Übriges";""
"3200";"KONTROLLPANEL MC";"Kontrollpanele";""
"3201";"INSTRUMENT HUS MC";"Instrumenten Haus";""
"3203";"CIG.TÄNDARE";"Cigarettenzünder";""
"3204";"INSTRUMENTSARG";"Instrumenten rahmen";""
"3205";"INSTR.BRÄDA STÖTSKYDD";"Instrumentenbrett Stoßschutz";""
"3206";"INSTRUMENT/RADIOSARG";"Radio Zarge";""
"3207";"HANDSKFACK";"Handschuhfach";""
"3208";"HANDSKFACKLUCKA";"Luke Handschufach";""
"3209";"HANDSKFACKLÅS";"Handschuhfachschloss";""
"3210";"INSTRUMENTKONSOLL MITT";"Instrumentenkonsole Mitte";""
"3211";"MUGGHÅLLARE";"Mugghållare";""
"3212";"HANDSKFACK DÄMPARE";"Handskfackdämpare";""
"3217";"VAKUUM/EKONOMI/TURBOTRYCKSMÄTARE";"Vacum./Ekonom./Turbotryckm.";""
"3218";"BENSINMÄTARE MC";"Benzinmessgerät";""
"3219";"INSTRUMENT YTTERTEMP.";"Ausentemperaturanzeige";""
"3220";"KOMBINERAT INSTRUMENT";"Kombinierte Instrumente";""
"3221";"INSTRUMENT HAST";"Tachometer";""
"3222";"INSTRUMENT BRÄNSLE/TEMP";"Tank-/Temp. anzeige";""
"3223";"INSTRUMENT TEMP.";"Temperaturanzeige";""
